
Model: prem
Distance   Depth   Phase   Travel    Ray Param  Takeoff  Incident  Purist    Purist
  (deg)     (km)   Name    Time (s)  p (s/deg)   (deg)    (deg)   Distance   Name 
-----------------------------------------------------------------------------------
   23.86    10.0   P        312.62     9.916     31.20    31.14    23.86   = P    
   23.86    10.0   P        312.78     9.174     28.64    28.59    23.86   = P    
   23.86    10.0   P        313.88     9.587     30.06    30.00    23.86   = P    
   23.86    10.0   P        318.37    11.786     38.00    37.93    23.86   = P    
   23.86    10.0   P        318.41    11.701     37.68    37.61    23.86   = P    
   23.86    10.0   P        329.17    13.579     45.19    45.10    23.86   = P    
   23.86    10.0   P        330.73    13.371     44.31    44.22    23.86   = P    

